20201223,闵行,古美,电梯高区+双南全明+进价高增值税少+中环1号线锦江乐园,540万,2室2厅 | 90.56平米 | 南 北 | 精装 | 高楼层(共18层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/1c1b1b6e-e0fd-4c5c-96f8-cde6283110ea_1000.jpg.296x216.jpg
20201223,闵行,古美,大平层+南方商城+1号线莲花路+精装修拎包入住,1398万,3室2厅 | 156.88平米 | 南 | 精装 | 低楼层(共3层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z1UsYRidK_1.jpg.296x216.jpg
20201223,闵行,古美,通透精装三房 +露台+满五唯一看房方便,825万,3室2厅 | 128.3平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/262fffbd-0a49-4ba9-aaa0-d70eaca901b1_1000.jpg.296x216.jpg
20201223,闵行,古美,新园大楼+边套电梯大两房+税费低+徐汇户口+诚意出售,490万,2室1厅 | 88.75平米 | 南 | 精装 | 高楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_8lEQYvZm2_1.jpg.296x216.jpg
20201223,闵行,古美,小区央座满五唯一，南北通风户型，楼层位置好，诚意售,1200万,3室2厅 | 129.12平米 | 南 | 简装 | 高楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/79cd9788-0c95-4f6f-b7d4-0eed9b8fa862_1000.jpg.296x216.jpg
20201223,闵行,古美,花园小区 光线充足 带两个车位 对口公立示范幼儿园,1380万,4室2厅 | 161.95平米 | 南 | 精装 | 低楼层(共3层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c9640e3c-4d5d-49fc-8539-70bf93add536_1000.jpg.296x216.jpg
20201223,闵行,古美,顶楼带阁楼，精装修，停车不愁，满五唯一，出行方便！,1460万,4室2厅 | 150.42平米 | 西南 | 精装 | 低楼层(共3层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HCezaoDX6_1.jpg.296x216.jpg
20201223,闵行,古美,近地铁空中别墅 4房朝南 全明户型 拎包入住 税费少房主自荐,638万,4室2厅 | 162平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tfg6XvQ66_1.jpg.296x216.jpg
20201223,闵行,古美,近地铁 复式房 带大露台 位置好不靠路房主自荐,420万,2室2厅 | 105.08平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k6wuifw91_1.jpg.296x216.jpg
20201223,闵行,古美,12号线虹莘路地铁，不紧靠路，正气三房，采光好房主自荐,765万,3室2厅 | 113.12平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/15527656-05d3-4f11-b47a-0234a5321809_1000.jpg.296x216.jpg
20201223,闵行,古美,满五唯一 南北直通格局，中间位置，精装修拎包住房主自荐,780万,3室2厅 | 116.75平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jwB7xfAWW_1.jpg.296x216.jpg
20201223,闵行,古美,店长主推古美七村电梯中间楼层边套全明三房，看房随时新上,610万,3室1厅 | 91.44平米 | 南 | 精装 | 低楼层(共18层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/feecbb68-97e3-4d7c-bec8-bedf22555050_1000.jpg.296x216.jpg
20201223,闵行,古美,满五唯一，呼吸正气，南北通全明户型,905万,2室2厅 | 95.09平米 | 南 | 简装 | 中楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qlnB8kmL6_1.jpg.296x216.jpg
20201223,闵行,古美,全明户型，高楼层，采光好，格局通透，中间位置。房主自荐,425万,3室1厅 | 89.08平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1bf49678-797c-4a37-9ea7-776386c0ae7c_1000.jpg.296x216.jpg
