20201223,杨浦,黄兴公园,南北通一门关带厅采光充足配套齐全交通便利近地铁房主自荐,189万,1室1厅 | 37.41平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_A9jyphjAr_2.jpg.296x216.jpg
20201223,杨浦,黄兴公园,《满五唯一》《低税费》《地铁站房子》《交通方便》房主自荐,207万,1室1厅 | 34.2平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6595e95d-f2de-44af-8a52-a0fa01d03f60_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,《店长推荐》《中间楼层》《无个税》《近地铁》房主自荐,319万,2室1厅 | 50.69平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vTVH1OA57_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,房屋为地铁口的小区，是模范小区，美丽家园已经改好,372万,2室1厅 | 53.61平米 | 南 北 | 精装 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZsChQkUKu_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,有钥匙+随时看房+设施配套齐全+位置好,185万,1室0厅 | 29.76平米 | 南 | 其他 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/48986953-7bf2-43e8-9185-8ee9fd9cde72_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,紧挨合生汇  精装修  中间楼层采光好不靠马路,1100万,2室2厅 | 112.53平米 | 南 | 精装 | 中楼层(共18层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e86d74f0-d25b-4148-98f7-accfc3d5a848_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,售后公房，满五唯一，南北东边套，上面带阁楼,530万,3室1厅 | 94.98平米 | 南 北 | 简装 | 高楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JGGtGbFn2_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,低楼层，带天井，南北两房，配套设施齐全，交通便利,425万,2室1厅 | 57.47平米 | 南 | 简装 | 低楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GABlTwBkL_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,满五唯一    小区中间位置   视野宽阔 采光无遮挡,592万,2室1厅 | 78.45平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3ee8670b-e664-47ac-849f-378eb1ce545d_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,满五唯一，无个税，1996年建成，1梯3户，双南两房房主自荐,450万,2室1厅 | 71.74平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eAp1kjPOy_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,1满五唯一精装修 全明户型 01年小区 近地铁公园房主自荐,610万,2室1厅 | 84.15平米 | 南 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O0WNuRzVL_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,产权清晰 边套 采光好 楼层佳,335万,2室1厅 | 62.5平米 | 东北 | 简装 | 中楼层(共6层) | 1954年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2b568d79-5d8e-4da7-abbd-ba6bbb35b2da_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,楼层佳 得房率好 诚意出售 看房提前约,760万,3室2厅 | 107.12平米 | 南 北 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dTfSm1UOX_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,满五唯一，无个税，电梯房，两房带厅，近黄兴公园,378万,2室1厅 | 70.15平米 | 南 | 简装 | 低楼层(共24层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Eqhj0SJHB_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,浣纱四村 3室2厅 南,740万,3室2厅 | 98.33平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_18sSSiAEd_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,《售后公房》《满五唯一》《复原三房》《全明户型》房主自荐,310万,2室1厅 | 51.9平米 | 东 西 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5e279799-3c96-4fb5-918f-dfe3872de89f_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,靖宇家园 2室1厅 南房主自荐,700万,2室1厅 | 75.01平米 | 南 | 精装 | 中楼层(共17层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J19LfssHE_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,松花公寓 2室1厅 东南,485万,2室1厅 | 83.57平米 | 东南 | 简装 | 中楼层(共17层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/2483ca7d-30a0-4c8a-8ccc-f19ea8dc8395_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,松花江路95弄，1梯2户，南北边套户型，楼层好，采光足房主自荐,405万,2室1厅 | 67.16平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e8b411cb-88fe-40bb-9a7e-fa6f4736bdca_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,满五唯一 精装修 采光充足 配套设施齐全 交通便利,668万,2室2厅 | 99.6平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/883c761f-345e-4423-9fb7-513660fd58b3_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,次新房，中楼层，采光好，得房率高，南北通户型,805万,2室2厅 | 96.74平米 | 南 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4849676b-ddbd-47b6-9676-293a97c576d4_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,总价低的一房一厅，出门地铁黄兴公园菜市场,287万,1室1厅 | 52.58平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2fea120f-c009-4aa4-bcd1-a98d38ecaacb_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,售后公房，满五唯一，全明户型，电梯房，采光好,490万,2室1厅 | 82平米 | 南 | 简装 | 低楼层(共17层) | 1998年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/827259ac-88bc-47dd-9070-f52051e275a0_1000.jpg.296x216.jpg
