20201223,长宁,北新泾,淞虹路站，中间楼层，精装修，户型好，随时看房房主自荐,745万,3室2厅 | 120.9平米 | 南 北 | 简装 | 低楼层(共7层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3woqvhMBQ_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一 业主诚心出售 自住保养好房主自荐,890万,3室2厅 | 134.23平米 | 南 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kKMcqErLl_1.jpg.296x216.jpg
20201223,长宁,北新泾,大一房一厅，独立厨卫，采光好，无遮挡新上,253万,1室1厅 | 41.31平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0W8lVzcE4_1.jpg.296x216.jpg
20201223,长宁,北新泾,店长推荐 绿园之星  售后公房   非顶楼  满五年房主自荐,389万,2室2厅 | 79.04平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XVB2t5C9k_1.jpg.296x216.jpg
20201223,长宁,北新泾,近地铁，边套全明，采光充足，配套齐全房主自荐,300万,1室1厅 | 56.64平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xeJtsJac7_1.jpg.296x216.jpg
20201223,长宁,北新泾,复式附带阁楼  满五唯一  生活在童话里的感觉房主自荐,599万,3室2厅 | 112.31平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_XvLV8Q3Xy_1.jpg.296x216.jpg
20201223,长宁,北新泾,店长推荐一梯两户东边套全明户型！满五唯一精装近地铁房主自荐,350万,2室1厅 | 61.37平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_i5aUZoKjc_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一；近地铁，交通便利；精装修；双南两房。房主自荐,380万,2室1厅 | 63.68平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KTMw3BaOV_1.jpg.296x216.jpg
20201223,长宁,北新泾,户型正气，小区中间位置，1梯4户采光很好。房主自荐,350万,2室1厅 | 57.93平米 | 东北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H7KsBYkYF_1.jpg.296x216.jpg
20201223,长宁,北新泾,一梯两户商品房，满五税少，2年精装近地铁，闹中取静房主自荐,355万,2室1厅 | 66.49平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KXbPizQnM_1.jpg.296x216.jpg
