20201223,杨浦,鞍山,带阁楼，有阁楼，空间大，全明边套，中装修。房主自荐,270万,1室0厅 | 33.98平米 | 南 | 简装 | 高楼层(共5层) | 1967年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Po5LSddoc_1.jpg.296x216.jpg
20201223,杨浦,鞍山,81原建81年原建，售后公房，无贷款无抵押，带阁楼房主自荐,309万,2室1厅 | 36.69平米 | 南 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jl0mSb3Jg_1.jpg.296x216.jpg
20201223,杨浦,鞍山,精装修，满五唯一，单价低，房龄新，近商圈,245万,1室1厅 | 43.12平米 | 南 | 精装 | 高楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_B3jTpXNGO.jpg.296x216.jpg
20201223,杨浦,鞍山,此房源满五唯一， 产权清晰，房东诚意出售,330万,1室1厅 | 48.94平米 | 南 北 | 简装 | 中楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6c026372-0f63-48f1-8de1-341e2a5115cc.jpg.296x216.jpg
20201223,杨浦,鞍山,内环内 朝南一室户 不靠马路 中间楼层，采光视野好,225万,1室1厅 | 38.56平米 | 南 | 简装 | 中楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cGkWD5YRh_1.jpg.296x216.jpg
20201223,杨浦,鞍山,店长推荐+一门关+中间楼层+小区环境好，进出方便房主自荐,272万,1室1厅 | 39.09平米 | 南 | 简装 | 中楼层(共5层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XDBQiAX6i_1.jpg.296x216.jpg
20201223,杨浦,鞍山,繁华地段，朝北一门，总价低，2003年建房主自荐,191万,1室0厅 | 23.89平米 | 北 | 精装 | 低楼层(共5层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pprJWXfLr_2.jpg.296x216.jpg
20201223,杨浦,鞍山,南北通两房，采光不挡全天日照，诚意出售，近10号线房主自荐,356万,2室1厅 | 41.7平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2jmf3JOHT_1.jpg.296x216.jpg
20201223,杨浦,鞍山,98年一梯两户，南北通大平层。中间楼层产权干净,765万,2室2厅 | 101.38平米 | 南 | 精装 | 中楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_utsIODbaj_1.jpg.296x216.jpg
20201223,杨浦,鞍山,高区视野无遮挡，轨交8/10号线便利，精装修拎包入住。房主自荐,550万,2室1厅 | 55.82平米 | 北 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bME7zYsFh_1.jpg.296x216.jpg
