20201223,杨浦,五角场,满五唯一，小三房，边套全明，10号/18号，诚意出售！,410万,3室1厅 | 68.1平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MJEthQozg_1.jpg.296x216.jpg
20201223,杨浦,五角场,一梯一户，五楼半，正宗复式，中间花园位置，40平露台,899万,6室2厅 | 188.82平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L7XXCBavW.jpg.296x216.jpg
20201223,杨浦,五角场,文化花园明珠苑，精装修三房，拎包入住，价格可谈。,980万,3室2厅 | 132.55平米 | 南 | 精装 | 低楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_pPf04z5XB_1.jpg.296x216.jpg
20201223,杨浦,五角场,本房源满五唯一，售后公房，南北两房，厨卫朝外。,330万,2室1厅 | 55.94平米 | 南 | 毛坯 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_5rRgJEazb.jpg.296x216.jpg
20201223,杨浦,五角场,创智坊大一房，少有面积小户型，居家一房，视野开阔，房主自荐,628万,1室2厅 | 78.08平米 | 东 西 | 精装 | 中楼层(共8层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KFfirqEe1.jpg.296x216.jpg
20201223,杨浦,五角场,建新小区 2室1厅 南,358万,2室1厅 | 53.25平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_suiox2Kfm.jpg.296x216.jpg
20201223,杨浦,五角场,双南两房，全明，产权清晰，税费少，诚心出售,560万,2室2厅 | 84.31平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AU2ko1pVF.jpg.296x216.jpg
20201223,杨浦,五角场,五角场电梯2房 近地铁 全明户型 生活配套齐全房主自荐,625万,2室1厅 | 96.29平米 | 南 | 精装 | 中楼层(共17层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_vySlvYOxI_1.jpg.296x216.jpg
20201223,杨浦,五角场,98年一房，一梯两户，花园小区，南北通,427万,1室2厅 | 59.46平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8b0QwvnS9_1.jpg.296x216.jpg
20201223,杨浦,五角场,同济欣苑 西山墙南北通 精装修两室 拎包入住,395万,2室1厅 | 57.13平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WUS56r7Do_1.jpg.296x216.jpg
20201223,杨浦,五角场,南北两房，全明户型！居家精装修！,392万,2室1厅 | 57.5平米 | 南 北 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vEwMEvHmO_1.jpg.296x216.jpg
