20201223,宝山,张庙,满五唯一，双南两房，户型格局好,采光好房主自荐,390万,2室1厅 | 76.68平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s8pa0gCbX_1.jpg.296x216.jpg
20201223,宝山,张庙,岭南翠庭 3室2厅 南,580万,3室2厅 | 106.04平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1070riNFF_1.jpg.296x216.jpg
20201223,宝山,张庙,1号线万达家乐福商圈，低楼层双南,405万,2室1厅 | 72.21平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/59c3eac4-3091-4f13-a0fa-2019cbddfb9a_1000.jpg.296x216.jpg
20201223,宝山,张庙,地铁口 单价总价低 近公园超市 双南户型采光好房主自荐,265万,2室1厅 | 64.85平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/eb079c95-eb9b-419e-961e-21ce48cc3587_1000.jpg.296x216.jpg
20201223,宝山,张庙,电梯大一房，总价低，有钥匙，欢迎随时咨询房主自荐,250万,1室1厅 | 57.61平米 | 南 | 简装 | 低楼层(共20层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ve584ELO7_1.jpg.296x216.jpg
20201223,宝山,张庙,诚卖，有钥匙随时看，只为寻找有缘人房主自荐,280万,2室1厅 | 72.61平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Tm4gxAmJw_1.jpg.296x216.jpg
20201223,宝山,张庙,错过就不再，次新房大一房，看房有钥匙，精装修！,268万,1室1厅 | 52.78平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VVzVz7zvJ_1.jpg.296x216.jpg
20201223,宝山,张庙,好楼层，好价格，业主诚心出售，看房子方便房主自荐,320万,2室1厅 | 66.28平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bFLnwiJ0T_1.jpg.296x216.jpg
20201223,宝山,张庙,近地铁 满五唯一 小区中位置 刚需过度不二选择新上,205万,1室1厅 | 43.25平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tJQZvuKI2.jpg.296x216.jpg
20201223,宝山,张庙,门店聚焦好房 精装修 拎包入住 诚意出售 到价随时签字新上,340万,2室1厅 | 78.04平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S3IeqJ1gC.jpg.296x216.jpg
20201223,宝山,张庙,全明户型，视野充足，配套齐全，交通便利，学而有成！新上,190万,1室1厅 | 47.21平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r1iSP0s8F_1.jpg.296x216.jpg
20201223,宝山,张庙,满五唯一，中间楼层，小区中间位置，看房随时房主自荐,196万,1室1厅 | 43.31平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pkVkTv0AU.jpg.296x216.jpg
20201223,宝山,张庙,环境好，低楼层  “花园房”  小区中间位置,510万,2室2厅 | 93.6平米 | 南 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rTX4k762n_1.jpg.296x216.jpg
20201223,宝山,张庙,链家优选，顶楼复式带阁楼附加双露台,710万,3室2厅 | 140.25平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F1X57zDlu_1.jpg.296x216.jpg
20201223,宝山,张庙,电梯房，共康路地铁口100米，万达600米房主自荐,750万,3室2厅 | 160平米 | 南 北 | 简装 | 中楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_TY8BXF9f7_1.jpg.296x216.jpg
20201223,宝山,张庙,顶楼大复式 小区花园位置 诚意出售,710万,5室2厅 | 216.58平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9e26d991-6827-4455-aa91-d108d030fd13_1000.jpg.296x216.jpg
20201223,宝山,张庙,电梯房，一梯两户，精装，急急急急急售！！！房主自荐,450万,2室2厅 | 91.34平米 | 南 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YqKLEhzIV_1.jpg.296x216.jpg
20201223,宝山,张庙,中楼层大两房，户型没得说，楼层挑剔不了，错过就不再房主自荐,328万,2室1厅 | 75.86平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7UiV4n1J9_1.jpg.296x216.jpg
20201223,宝山,张庙,店长推荐，顶楼复式，满五唯一，房主自荐,555万,3室2厅 | 94.35平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uVALSu94g_1.jpg.296x216.jpg
20201223,宝山,张庙,精装修+采光充足+诚意出售+看中可以谈+位置好,320万,2室1厅 | 55.33平米 | 南 北 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Kr7dDu2cK_1.jpg.296x216.jpg
20201223,宝山,张庙,民主花园，低楼层，全明户型，满五唯一房主自荐,400万,2室1厅 | 80.92平米 | 南 | 简装 | 低楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_5c3RwDl7J.jpg.296x216.jpg
20201223,宝山,张庙,民主花园 2室1厅 南 北新上,398万,2室1厅 | 77.06平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xDrggjqJc.jpg.296x216.jpg
