20201223,闵行,闵浦,楼层位置好，配套很成熟，业主诚心出售新上,256万,2室2厅 | 77.2平米 | 南 | 毛坯 | 中楼层(共17层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DopNji7v4_1.jpg.296x216.jpg
20201223,闵行,闵浦,近地铁 一房精装修 楼层位置好 配套齐全 交通方便新上,223万,1室1厅 | 60.41平米 | 南 | 精装 | 高楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HkrxAWLV1.jpg.296x216.jpg
20201223,闵行,闵浦,智汇园小三房带地下一层 小区位置好 户型正气 精装修,650万,3室3厅 | 149.8平米 | 南 北 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Oy8OkfdcV_1.jpg.296x216.jpg
20201223,闵行,闵浦,召稼楼古镇辐射区域，小区环境幽美，车位充足。,242万,2室1厅 | 76.51平米 | 南 | 简装 | 高楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fpzQFEAjC_1.jpg.296x216.jpg
20201223,闵行,闵浦,满五唯一，南北通风，精装修，景观楼层房主自荐,290万,2室1厅 | 72.93平米 | 南 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oxZ5Ijwhs.jpg.296x216.jpg
20201223,闵行,闵浦,近地铁商品房小区  金典两房户型   精装修可拎包入住房主自荐,265万,2室1厅 | 75.95平米 | 南 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ES1zVCoaM_1.jpg.296x216.jpg
20201223,闵行,闵浦,复式两房|品质小区+户型正气+近地铁房主自荐,490万,2室2厅 | 97.29平米 | 南 北 | 毛坯 | 高楼层(共13层) | 2010年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_IzUs9utgC_1.jpg.296x216.jpg
20201223,闵行,闵浦,品质小区，绿化高，密度小，中间楼层采光通风强,540万,3室1厅 | 92.5平米 | 南 北 | 精装 | 中楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cmEpk1fvA_1.jpg.296x216.jpg
20201223,闵行,闵浦,家电家具全不要了精装两房，税费少， 周期到三月新上,245万,2室1厅 | 74.89平米 | 南 | 精装 | 中楼层(共11层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DjO5keS47_1.jpg.296x216.jpg
20201223,闵行,闵浦,8号线地铁站，召稼楼古镇旁，闵浦新苑大三房，房主自荐,395万,3室2厅 | 122.3平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fgWZZjTU0_1.jpg.296x216.jpg
20201223,闵行,闵浦,精装两年可拎包入住，电梯中层，视野开阔采光充足房主自荐,269万,2室2厅 | 75.89平米 | 南 北 | 精装 | 中楼层(共17层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7GILmD7e6.jpg.296x216.jpg
20201223,闵行,闵浦,此房南北户型，小洋房，小区配套设施齐全，距离地铁近房主自荐,275万,2室2厅 | 73.95平米 | 南 北 | 毛坯 | 高楼层(共7层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zXMIW4usJ.jpg.296x216.jpg
20201223,闵行,闵浦,近地铁+一手动迁+税少+精装修+沿河景观房主自荐,349万,2室2厅 | 97.73平米 | 南 北 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wRXosgbno_1.jpg.296x216.jpg
20201223,闵行,闵浦,此房是原始动迁，次新小区，配套成熟，看房方便新上,180万,1室1厅 | 60.13平米 | 南 北 | 简装 | 低楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dXXJS3diY.jpg.296x216.jpg
20201223,闵行,闵浦,房东诚意出售，毛坯中楼层房源，明确信息随时看房房主自荐,275万,2室1厅 | 76.4平米 | 南 北 | 毛坯 | 中楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-96c60c86-2419-45a8-be92-c035ad0201f4.png.296x216.jpg
