20201223,徐汇,徐家汇,售后公房 满五不唯一 采光不遮挡 好朝向 业主诚意度高必看好房,460万,2室1厅 | 51.19平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a6f03ef0-e610-4bd3-9a48-b8a82e15bf67_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,精装修拎包入住，楼层佳，西边套全明采光视野好，诚售必看好房,469.8万,1室2厅 | 47.31平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-03c9b4f7-0f60-43ea-baef-a19b73c58ced.jpg.296x216.jpg
20201223,徐汇,徐家汇,内环内总价低一门关满五唯一，近东安路地铁站4/7号线必看好房,198万,1室1厅 | 30.01平米 | 北 | 简装 | 低楼层(共6层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WwZEDCvZG_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,精装修拎包住，中间楼层，4/7东安路，三大商场必看好房,212万,1室0厅 | 27.55平米 | 北 | 精装 | 低楼层(共6层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B8pVUKogl_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,中间楼层，南北两房，精装修拎包入住必看好房,540万,2室1厅 | 52.34平米 | 南 | 精装 | 中楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/8caae1e9-8806-4eba-b7c4-fe6e2f03c967.png.296x216.jpg
20201223,徐汇,徐家汇,乐山精装两房，业主诚心出售，位置安静小两房必看好房,510万,2室0厅 | 47.88平米 | 南 | 精装 | 中楼层(共7层) | 1988年建 | 板楼,
20201223,徐汇,徐家汇,闹中取静，不临马路，满五唯一，房型正气，一梯两户,1200万,2室1厅 | 124.19平米 | 南 | 精装 | 低楼层(共14层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RIk5UR7LY_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,十年一套，经典传世名宅，大隐于市，空中别墅，大露台,5000万,6室3厅 | 407.95平米 | 南 | 精装 | 高楼层(共27层) | 2005年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_PBfoUIarF_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,售后公房，中高楼层，地段佳，地铁交通方便，诚意出售,730万,2室1厅 | 78平米 | 西 | 精装 | 中楼层(共18层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/d847626b-0936-4cc2-86db-b9bcaf95ad02_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,售后公房满五唯一 厨房空间充足 精装修 可拎包入住,315万,1室1厅 | 43.16平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aISOKibyi_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,美化改建  楼道干净环境好 诚心卖新上,278万,1室0厅 | 37.32平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d6zgudGaA_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,近地铁 徐家汇内环内 面积大 单价低 实惠三房,800万,3室2厅 | 160.82平米 | 南 | 简装 | 低楼层(共29层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2uFbldkyj_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,徐家汇精致两房 看房方便 业主诚意出售,758万,2室1厅 | 98.59平米 | 南 北 | 简装 | 低楼层(共24层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A0kFwMoth_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,中间楼层 售后公房 随时可看 全明户型 交通便利,475万,2室1厅 | 42.65平米 | 南 | 简装 | 中楼层(共6层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KTl9UCbFK_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,内环品质小区无增值税，多公交环地铁靠医院邻光启城,1080万,2室2厅 | 111.17平米 | 南 | 简装 | 中楼层(共22层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/bfbcd880-ceb7-46a0-97d9-832287e6de3f_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,产权清晰，无户口，南北两房，诚意出售房主自荐,520万,2室1厅 | 52.34平米 | 南 | 简装 | 高楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/811ad37e-2826-4563-96ad-9ef411f2c24e_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,朝南+全明边套+采光好+地铁口+电梯房+诚意出售新上,545万,2室1厅 | 55.27平米 | 东 南 | 精装 | 中楼层(共10层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a23be30f-2c20-4a70-a437-b18ac3389612_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,满五 全明电梯两室，楼层好，位置安静新上,740万,2室2厅 | 80.93平米 | 东 东南 南 | 简装 | 中楼层(共18层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/5b9ba7f4-91c1-490d-9c46-0d652cbfffeb_1000.jpg.296x216.jpg
