20201223,闵行,静安新城,独栋别墅 200平花园 精装修 九号线合川路地铁口满五,2885万,5室3厅 | 313平米 | 南 | 精装 | 低楼层(共3层) | 1999年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160105/9b89a37d-4d61-4bf2-accc-c80f484a2e2d.jpg.296x216.jpg
20201223,闵行,静安新城,九歌花园三房，户型好，诚意卖，欢迎咨询房主自荐,870万,3室2厅 | 122.21平米 | 南 | 简装 | 中楼层(共8层) | 2001年建 | 板楼,
20201223,闵行,静安新城,大上海国际花园酒店公寓 1室1厅 南,300万,1室1厅 | 49.25平米 | 南 | 其他 | 高楼层(共11层) | 2008年建 | 塔楼,
20201223,闵行,静安新城,电梯中间楼层，买进价高，税费少，户型端正,220万,1室1厅 | 40.26平米 | 东南 | 简装 | 中楼层(共11层) | 2008年建 | 塔楼,
20201223,闵行,静安新城,五区少有双南大两房 全屋精装修 拎包入住 诚意出售房主自荐,465万,2室1厅 | 69.84平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_puVcmFByg_1.jpg.296x216.jpg
20201223,闵行,静安新城,边套全明户型  中间楼层 税费低房主自荐,398万,2室1厅 | 65.01平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NmFfYWjJa_1.jpg.296x216.jpg
20201223,闵行,静安新城,有燃气精装！住宅用地70年三间朝南！电梯新房有车位！,275万,2室2厅 | 70平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_9BiPTbitX_1.jpg.296x216.jpg
20201223,闵行,静安新城,08年商品房，户型方正，配套齐全，业主诚意出售,320万,1室1厅 | 63.11平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-8d683675-79a5-4641-b968-789dce918177.png.296x216.jpg
20201223,闵行,静安新城,九号线地铁口300米+三大商场+电梯中高区+宜出租,155万,1室0厅 | 36.49平米 | 北 | 简装 | 中楼层(共9层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-b608076b-c1cd-479f-8168-959281cb2b94.png.296x216.jpg
20201223,闵行,静安新城,63年产权，精装修，价格实惠，近期关注度高,210万,1室1厅 | 42.49平米 | 南 | 简装 | 低楼层(共11层) | 2008年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-6b1b3064-28cb-4f88-aaf9-475826d5dc8b.png.296x216.jpg
20201223,闵行,静安新城,大上海国际花园酒店公寓 1室1厅 南,200万,1室1厅 | 42.49平米 | 南 | 简装 | 中楼层(共11层) | 2008年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-e582c249-f416-4384-8f60-2683636cce9d.png.296x216.jpg
20201223,闵行,静安新城,中间楼层视野好，通燃气，户型正气，产权63年,230万,1室1厅 | 50.96平米 | 南 | 简装 | 中楼层(共11层) | 2008年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-dbb07fa0-9419-4d29-9e20-17fe515636ca.png.296x216.jpg
20201223,闵行,静安新城,大上海国际花园酒店公寓 2室1厅 南,365万,2室1厅 | 74.39平米 | 南 | 其他 | 高楼层(共11层) | 2008年建 | 塔楼,
20201223,闵行,静安新城,大上海国际花园酒店公寓 1室1厅 西南,250万,1室1厅 | 56.89平米 | 西南 | 其他 | 低楼层(共11层) | 2008年建 | 塔楼,
