20201223,长宁,镇宁路,近地铁2，11号线江苏路站，房龄新，,270万,1室1厅 | 31.1平米 | 南 | 精装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Cu23F3odB_1.jpg.296x216.jpg
20201223,长宁,镇宁路,江五低总价全明户型电梯房，满五税费少，看房随时,430万,2室1厅 | 58.71平米 | 南 | 精装 | 低楼层(共20层) | 1994年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_qEbMZllTJ_1.jpg.296x216.jpg
20201223,长宁,镇宁路,华山路简装朝南一房，交通方便近地铁，房东诚意,398万,1室0厅 | 34.9平米 | 南 | 精装 | 中楼层(共18层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fhr2vXGiI_1.jpg.296x216.jpg
20201223,长宁,镇宁路,东诸安浜路大两房，近地铁2、11号线江苏路站看房方便房主自荐,610万,2室1厅 | 77.62平米 | 南 东南 | 精装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sR0UNuPSP_1.jpg.296x216.jpg
20201223,长宁,镇宁路,诚意出售，近江五，精装修，一南一北两房,530万,2室1厅 | 58.17平米 | 南 北 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6fcea068-9e2c-4a3c-8f24-fde047181651.jpg.296x216.jpg
20201223,长宁,镇宁路,江五低总价电梯房，装修好，看房方便,680万,2室1厅 | 86.94平米 | 南 | 简装 | 低楼层(共22层) | 1994年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_iBw6ZtROi_1.jpg.296x216.jpg
20201223,长宁,镇宁路,东渚安浜路+地铁2号11号线+2016年装修+大金空调+地暖房主自荐,830万,2室1厅 | 92平米 | 西南 | 精装 | 低楼层(共28层) | 1997年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_6wkBR2G2L_1.jpg.296x216.jpg
20201223,长宁,镇宁路,百年华山路旁，江五底楼带天井，精装修，看房方便,410万,1室1厅 | 39.48平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F1MGMv9pX_1.jpg.296x216.jpg
20201223,长宁,镇宁路,双南，附双阳台，一楼，出入便利。,720万,2室1厅 | 77.12平米 | 南 | 精装 | 低楼层(共18层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_zhLoaG8M4_1.jpg.296x216.jpg
20201223,长宁,镇宁路,有名饿可用，朝南一房，全明户型,348万,1室1厅 | 37.04平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JHzVBva8q_1.jpg.296x216.jpg
20201223,长宁,镇宁路,华山路/曹家堰路；百年风华；看华山路花园洋房美景,385万,1室1厅 | 41.52平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tlh4ajZJV_1.jpg.296x216.jpg
20201223,长宁,镇宁路,单价8万4，南北通户型，采光无遮挡,373万,1室1厅 | 44.06平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wgz2Ypecg_1.jpg.296x216.jpg
20201223,长宁,镇宁路,税费少+近地铁+南北通+中间楼层房主自荐,450万,2室1厅 | 55.25平米 | 北 南 | 其他 | 低楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G56xEI3kl_1.jpg.296x216.jpg
20201223,长宁,镇宁路,边套一房，中间楼层，出行生活便利房主自荐,372万,1室1厅 | 50.17平米 | 东 | 简装 | 中楼层(共13层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_vpUP6RVbC_1.jpg.296x216.jpg
20201223,长宁,镇宁路,边套南北通一房。全明采光无遮挡。,400万,1室1厅 | 40.3平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aMg07o7fN_1.jpg.296x216.jpg
20201223,长宁,镇宁路,东诸安浜路，精装两房，近地铁，精装修，带地暖,920万,2室2厅 | 92.43平米 | 南 | 精装 | 高楼层(共28层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_3qqmYvOVi_1.jpg.296x216.jpg
20201223,长宁,镇宁路,售后公房满五唯一，无个税和增值税房主自荐,525万,2室1厅 | 54.41平米 | 南 | 简装 | 中楼层(共5层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ENszN9RpG_1.jpg.296x216.jpg
20201223,长宁,镇宁路,91年房龄，两房朝南，带客厅，精装修，高楼层采光好,520万,2室1厅 | 55.09平米 | 南 北 | 精装 | 高楼层(共5层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KP53NQjkh_1.jpg.296x216.jpg
20201223,长宁,镇宁路,近2号线，朝南一室户，低楼层， 阳光很好，户型很好房主自荐,309万,1室1厅 | 37.28平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uMTq2ez5X_1.jpg.296x216.jpg
20201223,长宁,镇宁路,北汪小区 采光无遮挡 二房一厅 南北户型 地铁2/11号线,420万,2室1厅 | 58.12平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cVPUUWFYF_1.jpg.296x216.jpg
20201223,长宁,镇宁路,镇宁路  单价、总价低、采光视野佳、无遮挡房主自荐,235万,1室1厅 | 35.2平米 | 西 北 | 简装 | 低楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1J5Sf2Jtw_1.jpg.296x216.jpg
20201223,长宁,镇宁路,东浜 边套 在售小户型 满五年税少房主自荐,310万,1室1厅 | 39.84平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8389fb01-cd8b-419d-a10b-d3db8773cde7_1000.jpg.296x216.jpg
20201223,长宁,镇宁路,泰安路华山路 94年品质公房 近地铁 单价低，税费少房主自荐,305万,1室1厅 | 34.64平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_syxDi9Rvq_1.jpg.296x216.jpg
