20201223,徐汇,华东理工,满五年 教师公寓＋商品房+全明户型 采光视野好房主自荐,547万,2室2厅 | 83平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H3KMfwMcc_1.jpg.296x216.jpg
20201223,徐汇,华东理工,边套全明户型，一梯两户，小区停车方便房主自荐,385万,2室1厅 | 66.97平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uQDdjoxRN_1.jpg.296x216.jpg
20201223,徐汇,华东理工,精装修电梯三房，全明视野开阔，产权清晰，满五唯一房主自荐,665万,3室2厅 | 123.22平米 | 东南 | 精装 | 高楼层(共25层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_2Busu94UF_1.jpg.296x216.jpg
20201223,徐汇,华东理工,精装修 全明户型 户型方正 近1号线地铁 业主诚售房主自荐,475万,3室1厅 | 88.38平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ftx9NDbMF_1.jpg.296x216.jpg
20201223,徐汇,华东理工,中间楼层，全明户型小两房，看房方便,308万,2室1厅 | 51.76平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7q6leV6VB_1.jpg.296x216.jpg
20201223,徐汇,华东理工,陇南小区680弄中间楼层采光好单价低业主诚意卖房主自荐,223万,1室1厅 | 48.19平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-28485a4b-d553-481e-a6ca-325c4d400ab0.png.296x216.jpg
20201223,徐汇,华东理工,梅陇四村电梯三房+东南朝向+售价低+看房方便,580万,3室1厅 | 126.79平米 | 东南 | 毛坯 | 低楼层(共25层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-a8ce0d7c-14a2-4b3f-bec7-3bb8f7c07c1a.jpg.296x216.jpg
20201223,徐汇,华东理工,南北通透板式三房 车位充足 交通方便  满五唯一,890万,3室2厅 | 126.73平米 | 南 西 北 | 简装 | 低楼层(共17层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-2bbf7e7b-ac2a-4076-a06c-19bc41ec7525.jpg.296x216.jpg
20201223,徐汇,华东理工,满五不唯一，位置好，楼层好，小区美丽家园，采光好,285万,1室1厅 | 50.43平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OMhWJASAe_1.jpg.296x216.jpg
20201223,徐汇,华东理工,梅陇十村 位置安静 中间楼层 出行方便 业主诚意出售房主自荐,280万,1室1厅 | 49.45平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a6oRBdjVx_1.jpg.296x216.jpg
20201223,徐汇,华东理工,品质小区，15号线地铁口，一梯两户，全明户型带花园,638万,2室1厅 | 88.9平米 | 南 | 简装 | 6层 | 2002年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_mNlCfSRnD_1.jpg.296x216.jpg
20201223,徐汇,华东理工,松风双南两房，全面户型格局好，配套齐全，诚心出售房主自荐,530万,2室1厅 | 90.82平米 | 南 | 精装 | 20层 | 1999年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-533b1195-2d0f-4723-af91-372ec6fd5957.png.296x216.jpg
20201223,徐汇,华东理工,15号线罗秀路地铁站正气中间楼层双南卧室双阳台房主自荐,445万,2室1厅 | 70.25平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bym5uK6g6_1.jpg.296x216.jpg
20201223,徐汇,华东理工,兴荣苑新出大两房，位置好  15号线地铁口 看房方便房主自荐,575万,2室2厅 | 101.72平米 | 南 北 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zULoOu75F_1.jpg.296x216.jpg
20201223,徐汇,华东理工,双南一北 正气三房 满五唯一  无抵押,460万,3室1厅 | 81.12平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ibZgo5Sma_1.jpg.296x216.jpg
