20201223,宝山,淞宝,一梯两户，户型房子，布局合理，精装修房主自荐,168万,1室1厅 | 40.62平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GlxQy1QiM.jpg.296x216.jpg
20201223,宝山,淞宝,标准一房，全明格局，位置好，非顶楼房主自荐,170万,1室1厅 | 40.49平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_v0M2yVkJX.jpg.296x216.jpg
20201223,宝山,淞宝,一室半户 满3年 老装修 顶楼有平改坡，看房有钥匙,180万,1室1厅 | 48.05平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xRvgLXVxi.jpg.296x216.jpg
20201223,宝山,淞宝,海滨二村中间楼层 近地铁 边套采光好 满五唯一房主自荐,155万,1室1厅 | 38.9平米 | 南 | 简装 | 中楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vz3gR5Rwc.jpg.296x216.jpg
20201223,宝山,淞宝,永清新村 低层两房 南北户型 精装修 诚意出售房主自荐,234万,2室1厅 | 53.3平米 | 南 | 精装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ICTwmHNLd.jpg.296x216.jpg
20201223,宝山,淞宝,海滨八村 满五唯一，南北通透，格局好，视野开阔,204万,2室1厅 | 53.63平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dfiKBZBmO_1.jpg.296x216.jpg
20201223,宝山,淞宝,永清新村 精装南向一室一厅 高楼层 采光充足房主自荐,164万,1室1厅 | 43.4平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-527935af-9022-4c81-84d8-2e4a83315889.jpg.296x216.jpg
20201223,宝山,淞宝,房子满五年唯一，近地铁，采光好，看房子方便,153万,1室1厅 | 38.9平米 | 南 | 简装 | 高楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8CuK7ItjQ.jpg.296x216.jpg
20201223,宝山,淞宝,中间位置！满五唯一！朝南带阳台！地铁和学习！诚意卖房主自荐,190万,1室1厅 | 37.64平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fRmnXazYW.jpg.296x216.jpg
20201223,宝山,淞宝,海滨新村+边套一房，装修精致，满五唯一，业主诚售,137万,1室0厅 | 36.83平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VMwaMtAdk.jpg.296x216.jpg
20201223,宝山,淞宝,此房满五不唯一，中间户型，中间楼层，视野好采光好房主自荐,145万,1室1厅 | 34.98平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LOHGbuGYa.jpg.296x216.jpg
20201223,宝山,淞宝,双南两房，低楼层，出行便利，配套齐全房主自荐,335万,2室0厅 | 46.38平米 | 南 | 简装 | 低楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HR4ukE80X_1.jpg.296x216.jpg
20201223,宝山,淞宝,大一房，厨卫全明，南北通风，户型方正,158万,1室1厅 | 42.13平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eqOMg5SBK.jpg.296x216.jpg
20201223,宝山,淞宝,宝林二村 户型正气 采光充足 全明户型房主自荐,155万,1室1厅 | 38.38平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_1q1XsxgLZ.jpg.296x216.jpg
20201223,宝山,淞宝,精装修，性价高，户型不错，采光充足房主自荐,213万,2室1厅 | 57.82平米 | 南 北 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_vD4kZjLea.jpg.296x216.jpg
20201223,宝山,淞宝,海滨五村 2室1厅 南,185万,2室1厅 | 47.8平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_YBJJGTczM.jpg.296x216.jpg
20201223,宝山,淞宝,次顶楼 南北带厅2房 中装 采光好 配套齐全房主自荐,242万,2室1厅 | 56.1平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_t9Fwf4jVF.jpg.296x216.jpg
20201223,宝山,淞宝,视野开阔，通风良好，采光充足，有斜坡，配套成熟房主自荐,175万,2室1厅 | 47.85平米 | 南 北 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6d22df8b-198b-4a7f-acf4-629c8dd6e15e.jpg.296x216.jpg
20201223,宝山,淞宝,满五唯一，采光通风好，开放性厨房,239万,2室1厅 | 60.73平米 | 南 北 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kFpWdqEid.jpg.296x216.jpg
20201223,宝山,淞宝,精装修一房满5年唯一 顶楼带坡顶采光通风好,158万,1室1厅 | 42.89平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ATGLjqZkU.jpg.296x216.jpg
