20201223,普陀,甘泉宜川,章家巷小区526弄，延长位置和门牌号15#40新上,240万,1室1厅 | 39.52平米 | 南 | 其他 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8VHrCW7ov_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,店长主推低总价一房+子长小区+位置安静+钥匙房急售新上,172万,1室1厅 | 34.87平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sFxxZDNzB_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,楼层好 全明户型 南北通透  配套齐全房主自荐,380万,2室1厅 | 67.39平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1keGvu7vh_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,售后公房，税费少，中间楼层，户型佳，业主诚意房龄新,328万,2室1厅 | 57.34平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B4y2QsDaF_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,甘泉公寓 2室1厅 南,498万,2室1厅 | 86.49平米 | 南 | 精装 | 低楼层(共20层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_wEssFUdmv_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,小区房龄好  高区采光无遮挡 房型正气,253万,1室1厅 | 49.73平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Uq7MTGXpd_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,售后公房无增值税，中低楼层，采光超好，随时看房房主自荐,488万,2室1厅 | 79.39平米 | 南 | 简装 | 低楼层(共22层) | 1992年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_iTkMKYJmn_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,甘泉苑 1室1厅 南,280万,1室1厅 | 46.95平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/59194a56-7a9d-4dfc-9ce3-1d2952ac7ccb_1000.jpg.296x216.jpg
20201223,普陀,甘泉宜川,满五唯一，少税，甘泉一村南北2室1厅户型,330万,2室1厅 | 50.29平米 | 南 | 精装 | 高楼层(共5层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OVRg1IawI_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,中间楼层，低总价南北两房，看房方便，诚意出售,300万,2室1厅 | 51.35平米 | 南 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VbJ1egPzm_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,有电梯，精装修，卧室较大，房屋朝南，光线较好,380万,2室1厅 | 66.54平米 | 南 | 精装 | 高楼层(共12层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_yOhhEsHdB_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,三房边套全明，视野开阔，房东诚意出售，看房方便房主自荐,352万,3室1厅 | 66.54平米 | 南 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bBczuoDw1_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,此房满五唯一，近地铁,双南双天井,采光无遮挡,诚售,325万,2室1厅 | 59.15平米 | 南 | 简装 | 低楼层(共6层) | 1965年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cNjZYI72G_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,近地铁，低单价低总价，看房方便随时可看，价格可谈,205万,1室1厅 | 46.4平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4382f205-c494-4ff8-b046-39e1a836edd3_1000.jpg.296x216.jpg
20201223,普陀,甘泉宜川,售后公房满五唯一+税少+电梯房+全明户型+小区环境好,425万,2室1厅 | 65.61平米 | 南 | 精装 | 低楼层(共13层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_LTsg1kUWa_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,近地铁+满五唯一+南北通+采光无遮挡+闹中取静+诚售,310万,2室1厅 | 54.28平米 | 南 北 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5YEm7rJOs_1.jpg.296x216.jpg
