20201223,普陀,光新,此房业主诚意出售，价格可谈，通勤便利,220万,1室1厅 | 41.74平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Et98CZ4L6_1.jpg.296x216.jpg
20201223,普陀,光新,朝南1室  锦邻镇坪路地铁站3/4/7号线.单纯卖房,236万,1室1厅 | 37.81平米 | 南 | 毛坯 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-f5ea3c6e-2049-4d66-9f51-6cc9c60eb241.jpg.296x216.jpg
20201223,普陀,光新,近地铁，低总价，精装修，小区环境好，南北通房主自荐,185万,1室1厅 | 35.27平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_QCQws0t27_1.jpg.296x216.jpg
20201223,普陀,光新,总价低，中间楼层，精装朝南三房，诚意出售,405万,3室1厅 | 65.66平米 | 南 北 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P1Pz536oA_1.jpg.296x216.jpg
20201223,普陀,光新,光新苑 2室1厅 南,336万,2室1厅 | 59.18平米 | 南 | 精装 | 高楼层(共7层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MMk2yoKSn_1.jpg.296x216.jpg
20201223,普陀,光新,高区，满五不唯一，房型正气，交通方便，视野开阔,580万,1室1厅 | 68.92平米 | 南 | 精装 | 高楼层(共25层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4e5202e1-dd3b-461a-9374-c1013f871fef_1000.jpg.296x216.jpg
20201223,普陀,光新,采光无遮挡，全明户型，诚意出售，业主置换，到价签字,345万,2室1厅 | 62.33平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NuA4n5l1k_1.jpg.296x216.jpg
20201223,普陀,光新,童家桥小区 2室1厅 南,275万,2室1厅 | 52.84平米 | 南 | 简装 | 高楼层(共7层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qYV6qsUxY_1.jpg.296x216.jpg
20201223,普陀,光新,此房业主诚意出售，价格可谈，通勤便利，近地铁,245万,1室1厅 | 38.93平米 | 南 | 精装 | 中楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_an6WwzsA9_1.jpg.296x216.jpg
20201223,普陀,光新,低楼层近地铁，配套齐全，出行方便，业主诚意出售,260万,1室1厅 | 37.97平米 | 南 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OJllAUnm0_1.jpg.296x216.jpg
20201223,普陀,光新,售后公房，一房一厅，诚意出售。,198万,1室1厅 | 39.99平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_VYi15BAqP.jpg.296x216.jpg
20201223,普陀,光新,全新婚房装修 满二唯一  产权清晰 诚心出售,260万,1室1厅 | 43.32平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-375aa610-0acb-49a1-b6c0-6d1a0edc4d13.jpg.296x216.jpg
20201223,普陀,光新,管弄四街坊 1室1厅 南,225万,1室1厅 | 39平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A58geuLxy_1.jpg.296x216.jpg
20201223,普陀,光新,楼层适合 诚意出售 全明户型 满五唯一房主自荐,204万,1室0厅 | 35.08平米 | 南 | 简装 | 中楼层(共7层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pGHzKyHHk_1.jpg.296x216.jpg
