20201223,长宁,仙霞,精装两房+看房方便+诚意出售+双南通透,385万,2室1厅 | 58.18平米 | 南 | 精装 | 中楼层(共5层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LAL3vc8Fj_1.jpg.296x216.jpg
20201223,长宁,仙霞,采光好+近地铁+配套成熟+业主诚售新上,230万,1室1厅 | 36.69平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r1Q5nTUXS_1.jpg.296x216.jpg
20201223,长宁,仙霞,外销房大四房，仙霞只此一个小区，精装修，楼层好,950万,4室2厅 | 160.72平米 | 南 北 | 精装 | 高楼层(共15层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_lDLtZQr6a_1.jpg.296x216.jpg
20201223,长宁,仙霞,五洲大厦 3室2厅 南,850万,3室2厅 | 146平米 | 南 | 精装 | 低楼层(共15层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3Ab3NTJvS_1.jpg.296x216.jpg
20201223,长宁,仙霞,此房南北通透全明户型，采光透气好。满五唯一没有个税,1020万,4室2厅 | 164.1平米 | 南 北 | 精装 | 低楼层(共14层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2bwOZpp1R_1.jpg.296x216.jpg
20201223,长宁,仙霞,近地铁，满五唯一，售后公房，业主诚售，看房随时诚售,215万,1室1厅 | 35.76平米 | 南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_410s1dK6Z_1.jpg.296x216.jpg
20201223,长宁,仙霞,满五唯一，税费少  精装自住，南北通中间位置 楼层好,297万,1室1厅 | 47.22平米 | 南 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_00Z1c04XF_1.jpg.296x216.jpg
20201223,长宁,仙霞,非顶楼，满五唯一，厨卫朝北，采光通风好,210万,1室0厅 | 34.29平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q8GkiWaoI_1.jpg.296x216.jpg
20201223,长宁,仙霞,低楼层带院子，户型卫全明，户型通透明亮！,202万,1室1厅 | 32.53平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D5XI4Cdkv_1.jpg.296x216.jpg
20201223,长宁,仙霞,小区中间位置，朝南，低楼层交通便利,348万,1室1厅 | 55.9平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cEDyFGVi5_1.jpg.296x216.jpg
20201223,长宁,仙霞,威宁大楼，双卧室朝南，全明两房,455万,2室1厅 | 76.13平米 | 南 | 简装 | 高楼层(共24层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_QsjGAoomN_1.jpg.296x216.jpg
20201223,长宁,仙霞,电梯房三房，仙霞罕有户型，全明采光好，邻西郊,559万,3室1厅 | 98.16平米 | 南 | 简装 | 低楼层(共24层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_vNTTvqu2X_1.jpg.296x216.jpg
20201223,长宁,仙霞,满五唯一，税费少，中间楼层，双南两房！看房方便!,325万,2室1厅 | 46.87平米 | 南 | 简装 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6Qa2yAmNd_1.jpg.296x216.jpg
20201223,长宁,仙霞,威宁大楼全明两房，看房方便，诚意出售,430万,2室1厅 | 75.83平米 | 西南 | 毛坯 | 低楼层(共24层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_HNPu45wPB_1.jpg.296x216.jpg
20201223,长宁,仙霞,售后公房+免征增值税+南北通户型+采光无遮挡,320万,1室1厅 | 50.64平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NIthJOdMb_1.jpg.296x216.jpg
20201223,长宁,仙霞,2号线旁 满5年 优质好房 户型方正 楼层好,440万,2室1厅 | 57.47平米 | 南 北 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yYaXyv7MM_1.jpg.296x216.jpg
20201223,长宁,仙霞,方正户型，采光不挡，人车分流，满五年税少！,1650万,3室2厅 | 179.06平米 | 南 | 精装 | 低楼层(共32层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4Au43vRMM_1.jpg.296x216.jpg
20201223,长宁,仙霞,娄山关路地铁口，635万三房，一梯两户，93年房龄,635万,3室2厅 | 99.05平米 | 东 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7yI7cURaw_1.jpg.296x216.jpg
20201223,长宁,仙霞,精装修拎包入住，配套成熟交通便利房主自荐,240万,1室1厅 | 40平米 | 南 北 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cVBjVIXvY_1.jpg.296x216.jpg
20201223,长宁,仙霞,全明户型+地铁2号线威宁路站+地铁10号线水城路站,375万,2室1厅 | 50.52平米 | 东南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Nm805m7cu_1.jpg.296x216.jpg
20201223,长宁,仙霞,全明户型+业主诚意出售+价格可谈！,213万,1室0厅 | 39.8平米 | 南 | 毛坯 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wCNqwBBnT_1.jpg.296x216.jpg
20201223,长宁,仙霞,中间楼层  采光好  无遮挡 业主诚售,230万,1室1厅 | 36.98平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FCIuM44oS_1.jpg.296x216.jpg
20201223,长宁,仙霞,虹仙小区 1室0厅 南,238万,1室0厅 | 37.38平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OHPKI3uLY_1.jpg.296x216.jpg
20201223,长宁,仙霞,小区中间位置，中层景观房，采光无遮挡，房主自荐,480万,2室1厅 | 69.22平米 | 南 | 精装 | 中楼层(共24层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SUzzi9AJS_1.jpg.296x216.jpg
20201223,长宁,仙霞,房屋南北通风，精致装修，低总价，户型方正，采光好,400万,3室1厅 | 69.79平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RJzNyzspw_1.jpg.296x216.jpg
20201223,长宁,仙霞,店长力荐，急售，急售，售后公房，交通便利,415万,2室1厅 | 71.75平米 | 东南 | 简装 | 低楼层(共26层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_vDD5WXFcc_1.jpg.296x216.jpg
20201223,长宁,仙霞,链家推荐好房：星霞苑！！！！！,610万,2室1厅 | 81.01平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h1z0uwdJr_1.jpg.296x216.jpg
20201223,长宁,仙霞,免征增值税+主卧南北都带窗户+2号线10号线双轨交,370万,2室1厅 | 49.07平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9WRjpPROh_1.jpg.296x216.jpg
20201223,长宁,仙霞,低总价电梯两房+中高层+配套交通好，钥匙方便看，诚售,365万,2室1厅 | 64.82平米 | 南 东 | 毛坯 | 中楼层(共24层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_pyiGUDgBu_1.jpg.296x216.jpg
