20201223,闵行,吴泾,双南两房，一梯两户，全明通透户型，看房方便。房主自荐,258万,2室1厅 | 80.15平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LyPcQvY2R_1.jpg.296x216.jpg
20201223,闵行,吴泾,一楼大花园，精装带地下室，业主诚心出售,525万,4室1厅 | 108平米 | 南 | 精装 | 低楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2b2df5e9-fbaf-4184-9cca-472e2e796be5_1000.jpg.296x216.jpg
20201223,闵行,吴泾,新华小区 三开间朝南，带地暖，业主自住,480万,4室2厅 | 147.46平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4d209f5e-bb46-40ba-ba18-ceedd074e797_1000.jpg.296x216.jpg
20201223,闵行,吴泾,满五唯一，小区中间位置，高楼层采光好，安静无忧房主自荐,140万,2室0厅 | 43.46平米 | 东南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f125396c-a688-464c-bb14-4de33cf79909_1000.jpg.296x216.jpg
20201223,闵行,吴泾,氯碱小区 毛坯一居室 交通便利,122万,1室1厅 | 38.94平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f118e602-a9aa-4a8b-935b-d67fc4a2701f_1000.jpg.296x216.jpg
20201223,闵行,吴泾,此房满五唯一，舒适格局，业主诚心出售,180万,1室1厅 | 55.64平米 | 南 | 简装 | 低楼层(共18层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/1aeee892-cb45-42e1-9fd9-0b7ea8c26d6d_1000.jpg.296x216.jpg
20201223,闵行,吴泾,户型正气,小区位置好,电梯中间楼层,255万,1室1厅 | 55.55平米 | 南 | 简装 | 高楼层(共15层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/96ad53b3-56b5-4c93-addc-d9ad2b028e7a_1000.jpg.296x216.jpg
20201223,闵行,吴泾,刚需一房，给在上海奋斗的你一个小家房主自荐,143万,1室1厅 | 40.18平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b4876f69-8447-493e-9e93-2c9b9bded897_1000.jpg.296x216.jpg
20201223,闵行,吴泾,氯碱小区   全功能间带窗 宜居两房带厅 采光视野好,190万,2室1厅 | 51.81平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9ff39d9f-88f6-4958-b424-5afc8ac2e945_1000.jpg.296x216.jpg
20201223,闵行,吴泾,一手动迁房免增值税简单装修，南北阳台，带落地窗，,378万,2室2厅 | 93.48平米 | 南 | 毛坯 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/40be8633-30f8-466b-b634-2028ae429e27_1000.jpg.296x216.jpg
