20201223,闵行,老闵行,红旗小区三房，配套齐全，近地铁，欢迎看房,244万,3室1厅 | 86.1平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9w0izDazl_1.jpg.296x216.jpg
20201223,闵行,老闵行,富仕名邸 3室2厅 南,485万,3室2厅 | 133.4平米 | 南 | 精装 | 高楼层(共4层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oaStf0dWr_1.jpg.296x216.jpg
20201223,闵行,老闵行,近地铁，近碧江广场，生活和交通方便，环境宜人宜居房主自荐,434万,4室3厅 | 141.9平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PA0CtYBGt_1.jpg.296x216.jpg
20201223,闵行,老闵行,丽都城中间4房2卫大户型带花园,750万,4室2厅 | 167.36平米 | 南 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y4AZZsKSY_1.jpg.296x216.jpg
20201223,闵行,老闵行,金平路地铁口少见4房，实用读书方便，花园位置,560万,4室2厅 | 138.5平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xcLCEiyWG_1.jpg.296x216.jpg
20201223,闵行,老闵行,边套联排精装别墅，税费少，诚意出售,960万,4室2厅 | 186.88平米 | 南 北 | 精装 | 3层 | 2006年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/pc1_UH9xwb7aE_1.jpg.296x216.jpg
20201223,闵行,老闵行,精装随时入住+楼层视野采光好+业主诚心出售+配套齐全房主自荐,169万,2室1厅 | 54.06平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A5l6RW6z0_1.jpg.296x216.jpg
20201223,闵行,老闵行,新闵小区温馨一室户，2手买进，价格好谈，看房方便。,147万,1室1厅 | 35.52平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sDgLZPlUH_1.jpg.296x216.jpg
20201223,闵行,老闵行,户型正气，一室一厅，小区中间位置，采光通风都很好房主自荐,132万,1室1厅 | 42.77平米 | 南 | 简装 | 高楼层(共5层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kywv7eQ9k_1.jpg.296x216.jpg
20201223,闵行,老闵行,万科城 3室2厅 南,420万,3室2厅 | 90.53平米 | 南 | 精装 | 高楼层(共28层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zHmN80W6k_1.jpg.296x216.jpg
20201223,闵行,老闵行,精装随时入住+楼层视野采光好+业主诚心出售+边套全明房主自荐,174.8万,2室1厅 | 55.77平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_whH5m2lFe_1.jpg.296x216.jpg
20201223,闵行,老闵行,此房楼层高，采光好，装修干净清爽，看房方便,145万,1室1厅 | 42.33平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yV0hFJo1i_1.jpg.296x216.jpg
20201223,闵行,老闵行,夏朵园+三房朝南阳光足+诚意出售+绿化好房主自荐,405万,3室2厅 | 133.05平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GKqX9MfEN_1.jpg.296x216.jpg
20201223,闵行,老闵行,装修干净，采光无遮挡，楼栋干净清爽，满五唯一,301万,3室2厅 | 111.63平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/398afe24-c687-4a52-87f4-cfa2d5ee13dd_1000.jpg.296x216.jpg
20201223,闵行,老闵行,高区景观房，精装房 ，视野开阔房主自荐,330万,1室2厅 | 71.35平米 | 南 | 精装 | 高楼层(共16层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qK6Alfrqw_1.jpg.296x216.jpg
20201223,闵行,老闵行,置换可谈，产权清晰，一家出售，看房随时！房主自荐,648万,3室2厅 | 133.77平米 | 南 | 毛坯 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2b361e60-de1b-40a5-bbc7-7afe17c549cf_1000.jpg.296x216.jpg
20201223,闵行,老闵行,绿地中间位置 居住适宜安静 精装三房+两卫  万达旁房主自荐,436万,3室1厅 | 97.21平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0x2ml8hrk_2.jpg.296x216.jpg
20201223,闵行,老闵行,简装三房双南,低楼层诚心出售。房主自荐,272.8万,3室2厅 | 90.95平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XZTq6LHiq_1.jpg.296x216.jpg
20201223,闵行,老闵行,精装修2房+干净清爽+户型正气+拎包入住,330万,2室2厅 | 91.42平米 | 南 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YDNHDXhUB_1.jpg.296x216.jpg
20201223,闵行,老闵行,夏朵园 2室2厅 南,380万,2室2厅 | 107.89平米 | 南 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6pmLWmRrH_1.jpg.296x216.jpg
20201223,闵行,老闵行,三房朝南，房型正气，高楼层，采光无遮挡，看房方便新上,308万,3室2厅 | 97.77平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OL4FVG9vz_1.jpg.296x216.jpg
20201223,闵行,老闵行,二街坊大一房，房型正气，诚意出售房主自荐,265万,1室1厅 | 55.18平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6x1FOD3Ey_1.jpg.296x216.jpg
20201223,闵行,老闵行,下叠别墅此房有钥匙随时可以看房，房东诚心出售.,999万,4室2厅 | 195.71平米 | 南 北 | 毛坯 | 4层 | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e5b78960-b4c2-4a18-84d8-e4ab02b13d3e_1000.jpg.296x216.jpg
20201223,闵行,老闵行,众里寻他千百度 少税 中层爬楼也不累 拎包入住真实惠,385万,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mdwQeYn5w_1.jpg.296x216.jpg
20201223,闵行,老闵行,此房是一梯两户的，房龄新2006年的很少有的精装两房新上,298万,2室2厅 | 82平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d5fcc49c-dbf4-488c-8d1f-977f4bbf0a2a_1000.jpg.296x216.jpg
20201223,闵行,老闵行,近地铁，房东诚心出售，楼层位置好，户型好,150万,2室1厅 | 60平米 | 南 | 毛坯 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lgRmRlBGn_1.jpg.296x216.jpg
20201223,闵行,老闵行,精装修拎包入住，前后无遮挡，生活配套齐全房主自荐,183万,2室1厅 | 59.67平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZrKs4lpt6_1.jpg.296x216.jpg
20201223,闵行,老闵行,万科四房热卖中，抢手大四房 景观楼层视野好,580万,4室2厅 | 118.95平米 | 南 北 | 精装 | 高楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h70ETy1FQ_1.jpg.296x216.jpg
20201223,闵行,老闵行,精装修，满二年！产权清晰无纠纷！超大露台,380万,2室2厅 | 111.56平米 | 南 北 | 精装 | 高楼层(共5层) | 2013年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_BYyS51EYt_1.jpg.296x216.jpg
20201223,闵行,老闵行,此房楼层好，总价低采光好视野开阔，满5年唯一少税费房主自荐,420万,3室2厅 | 92.29平米 | 南 | 精装 | 高楼层(共27层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8WQAhMU8o.jpg.296x216.jpg
20201223,闵行,老闵行,少有的精装修两房，一楼带院子，户型好房主自荐,420万,2室2厅 | 91.88平米 | 南 北 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yZRVkEpHJ_1.jpg.296x216.jpg
